#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 04 11 50 211 11.2 14.4  5.86 10.00  8.70 215 1006.1  11.2  10.6 999.0 99.0 99.00
2019 01 04 12 50 214 11.2 14.7  6.44 13.79  9.20 255 1006.5  11.2  10.7 999.0 99.0 99.00
2019 01 04 13 50 214 10.8 13.5  6.44 13.79  9.38 258 1006.8  11.0  10.6 999.0 99.0 99.00
2019 01 04 15 50 211  9.5 11.9  6.89 13.79  9.87 247 1007.9  10.8  10.6 999.0 99.0 99.00
2019 01 04 16 50 212  9.1 11.2  5.89 14.81  9.48 255 1008.6  10.7  10.6 999.0 99.0 99.00
2019 01 04 17 50 217  9.3 11.5  7.07 14.81 10.26 248 1009.1  10.8  10.6 999.0 99.0 99.00
2019 01 04 18 50 209  8.5 11.6  6.45 13.79  9.53 257 1009.5  10.6  10.6 999.0 99.0 99.00
2019 01 04 19 50 198  8.0  9.9  6.52 16.00 10.13 255 1009.4  10.8  10.7 999.0 99.0 99.00
2019 01 04 20 50 205  7.4  9.4  6.22 13.79  9.95 259 1009.1  10.7  10.7 999.0 99.0 99.00
2019 01 04 21 50 203  6.7  8.2  6.12 12.90 10.16 254 1009.0  10.6  10.7 999.0 99.0 99.00
2019 01 04 22 50 205  5.9  7.6  5.25 12.90  9.57 251 1008.8  10.6  10.7 999.0 99.0 99.00
2019 01 04 23 50 207  5.4  7.1  5.95 14.81 10.12 259 1008.9  10.5  10.7 999.0 99.0 99.00
2019 01 05 00 50 204  3.8  5.2  5.42 13.79  9.97 269 1008.8  10.4  10.7 999.0 99.0 99.00
2019 01 05 01 50 192  2.0  3.5  5.09 12.90  9.77 260 1008.3  10.2  10.6 999.0 99.0 99.00
2019 01 05 02 50 158  1.5  2.6  5.00 13.79  9.84 261 1008.3  10.3  10.6 999.0 99.0 99.00
2019 01 05 03 50  82  1.5  4.1  5.05 13.79 10.15 263 1007.6  10.2  10.6 999.0 99.0 99.00
2019 01 05 04 50  63  1.9  4.2  4.64 12.90  9.71 279 1006.9  10.1  10.6 999.0 99.0 99.00
2019 01 05 05 50 128  3.9  6.7  4.83 13.79  9.94 275 1006.2   8.9  10.6 999.0 99.0 99.00
2019 01 05 06 50 104  4.5  7.7  4.73 13.79  9.32 276 1005.4   8.9  10.6 999.0 99.0 99.00
2019 01 05 07 50  91  5.2  8.2  4.21 12.90  8.90 292 1003.8   9.7  10.6 999.0 99.0 99.00
2019 01 05 08 50 151  9.0 11.3  4.24 13.79  8.86 270 1002.6  10.5  10.7 999.0 99.0 99.00
2019 01 05 09 50 148  8.7 11.0  3.96 12.90  8.51 269 1001.8  10.3  10.8 999.0 99.0 99.00
2019 01 05 10 50 154  9.7 11.9  4.04 12.90  8.45 276 1001.3  10.8  10.8 999.0 99.0 99.00
2019 01 05 11 50 154  8.8 11.7  4.07 12.90  8.61 280 1000.4  10.7  10.7 999.0 99.0 99.00
2019 01 05 12 50 159  8.7 11.2  3.75 12.90  8.45 264  999.3  10.7  10.7 999.0 99.0 99.00
2019 01 05 13 50 159  9.0 11.3  3.19 12.90  7.96 271  998.2  10.8  10.7 999.0 99.0 99.00
2019 01 05 14 50 168  9.5 12.0  3.16 13.79  7.46 268  997.1  11.1  10.7 999.0 99.0 99.00
